Straßenname;Hinweis_zum_Straßennamen;Planquadrat_von;Planquadrat_bis;Lage_im_Straßennetz_von_Straße;Lage_im_Straßennetz_bis_Straße;Stadtteilname;Postleitzahl;Straßenschluessel-Nr.;ungerade_Haus-Nr._von;ungerade_Haus-Nr._bis;gerade_Haus-Nr._von;gerade_Haus-Nr._bis;Stadtteil-Nr.
Aachener Platz;;4474;4473;Fleher Str. über Ulenbergstr.;Fleher Straße;Bilk;40223;1001;;;;;36
Aachener Straße;;4475;4373;Ludwig-Hammers-Platz;Volmerswerther Straße;Bilk;40223;1002;1;131;2;126;36
Aachener Straße;;4475;4373;Ludwig-Hammers-Platz;Volmerswerther Straße;Bilk;40223;1002;133;203;128;192;36
Aachener Straße;;4475;4373;Ludwig-Hammers-Platz;Volmerswerther Straße;Flehe;40223;1002;205;999;194;998;38
Aaper Höhenweg;;4880;4982;Fahneburgstraße;Wilhelm-Suter-Pfad;Rath;40629;1003;;;;;63
Aaper Schneise;;4982;4880;Fahneburgstraße;Am Bauenhaus;Rath;40629;1004;;;;;63
Aaper Weg;siehe Am Aaper Weg;;;;;;;;;;;;
Abbe-Weg;siehe Ernst-A.-W. ;;;;;;;;;;;;
Abteihofstraße;;4373;4372;Volmerswerther Straße;Volmerswerther Deich;Volmerswerth;40221;1005;;;;;35
Achenbachstraße;;4677;4678;Grafenberger Allee;Rethelstraße;Düsseltal;40237;1006;;;;;23
Achillesstraße;;4377;;Luegallee;Salierstraße;Oberkassel;40545;1007;;;;;41
Ackerstraße;;4677;4777;Worringer Straße;Hoffeldstraße;Stadtmitte;40233;1008;1;41;2;36;13
Ackerstraße;;4677;4777;Worringer Straße;Hoffeldstraße;Flingern Nord;40233;1008;43;199;38;176;22
Ackerstraße;;4677;4777;Worringer Straße;Hoffeldstraße;Flingern Nord;40235;1008;201;999;176;998;22
Adalbert-Probst-Straße;;5368;;Carl-Friedr.-Goerdeler-Str.;nach Norden;Garath;40595;3183;;;;;101
Adalbertstraße;;4377;;Luegallee;Cheruskerstraße;Oberkassel;40545;1009;;;;;41
Adam-Stegerwald-Straße;;5367;;Am Kapeller Feld;Kurt-Tucholsky-Straße;Garath;40595;3182;;;;;101
Adenauer-Platz;siehe Konrad-A.-Pl.;;;;;;;;;;;;
Aderdamm;;4274;4273;Batterieweg;Aderräuscherweg;Hamm;40221;1010;;;;;34
Aderkirchweg;;4274;;Fährstraße;Batterieweg;Hamm;40221;1011;;;;;34
Aderräuscherweg;;4273;4373;Aderdamm;Volmerswerther Straße;Volmerswerth;40221;1012;1;999;;;35
Aderräuscherweg;;4273;4373;Aderdamm;Volmerswerther Straße;Bilk;40221;1012;;;2;998;36
Adershof;siehe Am A.;;;;;;;;;;;;
Adersstraße;;4476;4576;Friedrichstraße;Mintropstraße;Friedrichstadt;40215;1013;1;41;2;42;31
Adersstraße;;4476;4576;Friedrichstraße;Mintropstraße;Friedrichstadt;40215;1013;43;999;44;998;31
Aderweg;;4274;;Batterieweg;nach Südosten;Hamm;40221;1015;;;;;34
Adlerstraße;;4677;4577;Pempelforter Str.;Am Wehrhahn;Pempelfort;40211;1016;1;13;2;998;14
Adlerstraße;;4677;4577;Pempelforter Str.;Am Wehrhahn;Pempelfort;40211;1016;15;999;;;14
Adolf-Klarenbach-Straße;;4870;4871;Bonner Straße;Geeststraße;Holthausen;40589;1017;;;;;93
Adolph-Kolping-Straße;;5168;;Urdenbacher Acker;Solfstraße;Urdenbach;40593;3635;;;;;96
Adolf-von-Vagedes-Platz;;4578;4577;Platzfläche zwischen Duisburger Str. u. Vagedesstr. u.Prinz-Georg-Str.;;Pempelfort;40479;3899;;;;;14
Adolph-Straße;siehe Peter A.-Str.;;;;;;;;;;;;
Aggerweg;;4878;;Beverweg;Brölweg;Gerresheim;40625;1018;;;;;71
Agnesstraße;;4589;;Am Angerfeld;Angerbenden;Angermund;40489;568;;;;;55
Agnes-Weg;siehe Lore-A.-W.;;;;;;;;;;;;
Ahnenweg;;4375;;Gladbacher Straße;nach Norden;Unterbilk;40219;1019;;;;;32
Ahnfeldstraße;;4678;4679;Rethelstraße;Grunerstraße;Düsseltal;40239;1020;;;;;23
Ahornallee;;4582;;Unterrather Straße;Beedstraße;Unterrath;40468;1021;;;;;62
Ahornblick;;5180;;Am Gartenkamp;Am Gartenkamp;Ludenberg;40629;3870;;;;;73
Ahornstraße;;5374;;Akazienstraße;nach Südwesten;Unterbach;40627;762;;;;;84
Ahrensplatz;;4584;;westl.Verläng.Tiefenbr. Weg;nach Norden;Lichtenbroich;40472;3781;;;;;61
Akademiestraße;;4477;;Rheinstraße;Hafenstraße;Altstadt;40213;1022;;;2;998;11
Akademiestraße;;4477;;Rheinstraße;Hafenstraße;Carlstadt;40213;1022;1;999;;;12
Akazienallee;;5078;4978;Von-Gahlen-Straße;Lakronstraße;Gerresheim;40625;1023;;;;;71
Akazienstraße;;5374;;Am Strasserfeld;nach Nordwesten und Südwesten;Unterbach;40627;763;;;;;84
Akazienweg;;4588;;Zur Lindung;nach Südwesten;Angermund;40489;569;;;;;55
Alberichweg;;4178;;Nibelungenstraße;Schanzenstraße;Oberkassel;40549;3206;;;;;41
Albert-Schöndorff-Platz;;4875;;Platzfläche vor Gleiwitzer Str. Hsnr. 8;;Lierenfeld;40231;3896;;;;;81
Albertstraße;;4777;4676;vor Erkrather Str. begin., d. kreuz.;Behrenstraße;Flingern Süd;40233;1024;;;;;21
Albertstraße 36 Garten;;4777;4676;Albertstraße;;Flingern Süd;40233;3370;;;;;21
Albertussee;siehe Am A.;;;;;;;;;;;;
Albrecht-Dürer-Straße;;4488;4588;Hühnerweg;Arthur-Kampf-Straße;Angermund;40489;570;;;;;55
Albrecht-Park;siehe Berty-Albrecht-Park;;;;;;;;;;;;
Albrecht-von-Hagen-Platz;;4380;;Theodor-Andresen-Straße;Karl-Kleppe-Straße;Golzheim;40474;1026;;;;;16
Aldekerkstraße;;3978;3977;Heerdter Landstraße;Knechtstedenstraße;Heerdt;40549;1027;;;;;42
Alexanderstraße;;4576;;Berliner Allee;Oststraße;Stadtmitte;40210;1028;;;;;13
Alfelder Straße;;5072;;Einbecker Straße;An der Wilkesfurth;Hassels;40599;1029;;;;;98
Alfred-Döblin-Straße;;5367;5267;Emil-Barth-Straße;nach Osten;Garath;40595;1030;;;;;101
Alice-Heye-Platz;;4972;;Halbuschstraße;Ellystraße;Wersten;40591;1031;;;;;91
Allensteiner Straße;;4875;;Wilhelm-Heinrich-Weg;Posener Straße;Lierenfeld;40231;1032;;;;;81
Allmendenweg;;4372;;Volmerswerther Deich;Volmerswerther Straße;Volmerswerth;40221;1033;;;;;35
Allmersstraße;;4381;;Ganghoferstraße;nach Nordosten;Stockum;40474;1034;;;;;51
Aloys-Odenthal-Platz;;5078;;Fläche v. Neusser Tor Hsnr. 19;Neusser Tor;Gerresheim;40625;3880;;;;;71
Altdorferstraße;;4779;;Vautierstraße;Graf-Recke-Straße;Düsseltal;40237;1035;;;;;23
alte Exerzierhalle;siehe Zur alten Exerzierhalle;;;;;;;;;;;;
Alte Flughafenstraße;;4284;;Niederrheinstraße;Danziger Straße;Lohausen;40474;3898;;;;;52
Alte Gasse;;4689;4589;Rahmer Straße;Eisenbahn;Angermund;40489;574;;;;;55
Alte Insel;;5076;;Glashüttenstraße;nach Westen;Gerresheim;40627;1036;;;;;71
Alte Kalkumer Straße;;4384;4386;Kalkumer Schlossallee;Kittelbach;Kaiserswerth;40489;1037;1;999;;;53
Alte Kalkumer Straße;;4384;4386;Kalkumer Schlossallee;Kittelbach;Kalkum;40489;1037;;;2;998;56
Alte Landstraße;;4284;4286;Niederrheinstraße;Kalkumer Schlossallee;Kaiserswerth;40489;1014;;;;;53
Alt-Eller;;4974;;Gumbertstraße;Bernburger Straße;Eller;40229;1038;;;;;82
Altenbergstraße;;4878;;Grafenberger Allee;Limburgstraße;Flingern Nord;40235;1039;1;999;;;22
Altenbergstraße;;4878;;Grafenberger Allee;Limburgstraße;Grafenberg;40235;1039;;;2;998;72
