Betreiber,Straße,Hausnummer,Postleitzahl,Ort,Bundesland,Breitengrad,Längengrad,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Steckertypen2,P2 [kW],Steckertypen3,P3 [kW],Steckertypen4,P4 [kW]
EnBW mobility+ AG und Co.KG,Emil-von-Behring-Str.,3,22541,Brunsbüttel,Schleswig-Holstein,53.90075,9.12262,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
Stadtwerke Brunsbüttel GmbH,Von Humboldt Platz,9,25541,Brunsbüttel,Schleswig-Holstein,53.89784302,9.121495474,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Brunsbüttel GmbH,Kaufhausstraße,1,25541,Brunsbüttel,Schleswig-Holstein,53.89966567,9.126401539,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Brunsbüttel GmbH,Gustav Meyer Platz,0,25541,Brunsbüttel,Schleswig-Holstein,53.90871732,9.138646302,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Brunsbüttel GmbH,Eddelaker Straße,123 d,25541,Brunsbüttel,Schleswig-Holstein,53.90656743,9.138990727,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Brunsbüttel GmbH,Koogstraße,61,25541,Brunsbüttel,Schleswig-Holstein,53.896652,9.13945,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Eskildsen GmbH & CO KG,Eddelaker Str.,131,25541,Brunsbüttel,Schleswig-Holstein,53.90908,9.142234,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Brunsbüttel GmbH,Delbrückstraße,2,25541,Brunsbüttel,Schleswig-Holstein,53.90017736,9.146241571,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
WES Verwaltung & Finanzen GmbH,Westerstraße,2,25693,St.Michaelisdonn,Schleswig-Holstein,53.98751193,9.11357224,22.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22.0,,,,
Sun Island Sonnenstudio / Einzelunternehmen,Westerstr.,6,25693,St.Michaelisdonn,Schleswig-Holstein,53.98713344,9.113849848,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
HanseWerk Charging Station,Altentreptower Straße,6,25704,Meldorf,Schleswig-Holstein,54.09781,9.064542,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Altentreptower Straße,6,25704,Meldorf,Schleswig-Holstein,54.098052,9.064756,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Lidl,Altentreptower Str.,2,25704,Meldorf,Schleswig-Holstein,54.096075,9.065507,92.0,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Kupplung Typ 2, DC CHAdeMO",50.0,DC Kupplung Combo,50.0,,
E.ON Drive GmbH,Jungfernstieg,13,25704,Meldorf,Schleswig-Holstein,54.09002,9.06916,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Jungferstieg,13,25704,Meldorf,Schleswig-Holstein,54.09002,9.06916,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Nordermarkt,5,25704,Meldorf,Schleswig-Holstein,54.090903,9.072199,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Gartenstraße,14,25704,Meldorf,Schleswig-Holstein,54.08883,9.074037,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Brunsbüttel GmbH,Süderstraße,40,25709,Marne,Schleswig-Holstein,53.94995454,9.01342677,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Eskildsen GmbH & CO KG,Feldstraße,33,25709,Marne,Schleswig-Holstein,53.955697,9.01448,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
Eskildsen GmbH & CO KG,Feldstraße,33,25709,Marne,Schleswig-Holstein,53.955877,9.014502,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
Gemeinde Eddelak,Am Sportplatz,0,25712,Eddelak,Schleswig-Holstein,53.9599,9.1508,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Eddelak,Theeberg,29,25712,Eddelak,Schleswig-Holstein,53.9526,9.1569,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Holzmarkt,1a,25712,Burg,Schleswig-Holstein,53.99795,9.26293,33.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Holzmarkt,1a,25712,Burg,Schleswig-Holstein,53.99824,9.262949,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Privatperson,Bahnhofstraße,57,25715,Eddelak,Schleswig-Holstein,53.949283,9.144664,11.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
Privatperson,Bahnhofstraße,57,25715,Eddelak,Schleswig-Holstein,53.949198,9.144674,11.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
GP JOULE Connect GmbH,Koogstr.,142,25718,Friedrichskoog,Schleswig-Holstein,54.02951243,8.839595318,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Wintershall Dea Deutschland AG,Schwienskoop,2,25718,Friedrichskoog,Schleswig-Holstein,54.01902,8.869116,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Am Hafen,4a,25718,Friedrichskoog,Schleswig-Holstein,54.004181,8.883078,150.0,Schnellladeeinrichtung,3,AC Steckdose Typ 2,22,DC Kupplung Combo,150.0,"DC Kupplung Combo, DC CHAdeMO",150.0,,
HBW Verwaltungs GmbH,Am Hafen,6a,25718,Friedrichskoog,Schleswig-Holstein,54.004524,8.883705,62.0,Schnellladeeinrichtung,2,AC Steckdose Typ 2,22,"DC Kupplung Combo, DC CHAdeMO",62.0,,,,
E.ON Drive GmbH,Dorfstraße,13,25725,Schafstedt,Schleswig-Holstein,54.081879,9.296181,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Dorfstraße,13,25725,Schafstedt,Schleswig-Holstein,54.082009,9.296188,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Blauer Lappen,100,25746,Heide,Schleswig-Holstein,54.1971981,9.0742122,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Gartenweg,2,25746,Heide,Schleswig-Holstein,54.19797,9.08054,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Gartenweg,29,25746,Heide,Schleswig-Holstein,54.198056,9.080833,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Süderstraße,26,25746,Heide,Schleswig-Holstein,54.192746,9.089786,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Markt,59,25746,Heide,Schleswig-Holstein,54.195278,9.091944,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
