Marke,Elektro
ALFA ROMEO,-
ALPINE,-
ASTON MARTIN,-
AUDI,28322
BENTLEY,-
BMW,23470
CADILLAC,-
CITROEN,4694
DACIA,14369
DS,524
FERRARI,-
FIAT,29911
FORD,5790
GWM,15
HONDA,677
HYUNDAI,32877
IVECO,-
JAGUAR,390
JEEP,-
KIA,11456
LADA,-
LAMBORGHINI,-
LAND ROVER,-
LEVC,-
LEXUS,17
LOTUS,-
LYNK & CO,4
MAN,10
MASERATI,-
MAZDA,1815
MERCEDES,25182
MG ROEWE,8774
MG ROVER,-
MINI,11744
MITSUBISHI,-
MORGAN,-
NIO,498
NISSAN,4331
OPEL,29297
PEUGEOT,15371
POLESTAR,6984
PORSCHE,4789
RENAULT,27858
ROLLS ROYCE,42
SEAT,12595
SKODA,12194
SMART,12190
SSANGYONG,187
SUBARU,117
SUZUKI,-
TESLA,69963
TOYOTA,840
VOLVO,5212
VW,63206
SONSTIGE,4844
INSGESAMT,470559
