Segment,Modell,Elektro
MINIS,CITROEN C1,-
MINIS,DACIA SPRING,14366
MINIS,FIAT 500,29635
MINIS,FIAT PANDA,-
MINIS,HYUNDAI I 10,-
MINIS,KIA PICANTO,-
MINIS,PEUGEOT 108,-
MINIS,RENAULT TWINGO,8833
MINIS,SEAT MII,29
MINIS,SMART FORTWO,9700
MINIS,TOYOTA AYGO,-
MINIS,VW UP,13238
MINIS,SONSTIGE,10
MINIS ZUSAMMEN,,75811
KLEINWAGEN,"AUDI A1, S1",-
KLEINWAGEN,BMW I3,9850
KLEINWAGEN,CITROEN C3,-
KLEINWAGEN,DS DS3,524
KLEINWAGEN,FORD FIESTA,-
KLEINWAGEN,FORD PUMA,-
KLEINWAGEN,HONDA E,677
KLEINWAGEN,HONDA JAZZ,-
KLEINWAGEN,HYUNDAI I 20,-
KLEINWAGEN,KIA RIO,-
KLEINWAGEN,MAZDA 2,-
KLEINWAGEN,MINI MINI,11744
KLEINWAGEN,"MITSUBISHI MIRAGE, SPACE STAR",-
KLEINWAGEN,NISSAN JUKE,-
KLEINWAGEN,NISSAN MICRA,-
KLEINWAGEN,OPEL CORSA,14979
KLEINWAGEN,PEUGEOT 208,9403
KLEINWAGEN,RENAULT CLIO,-
KLEINWAGEN,RENAULT ZOE,10535
KLEINWAGEN,SEAT IBIZA,-
KLEINWAGEN,SKODA FABIA,-
KLEINWAGEN,SMART FORFOUR,2242
KLEINWAGEN,SUZUKI IGNIS,-
KLEINWAGEN,SUZUKI SWIFT,-
KLEINWAGEN,TOYOTA YARIS,-
KLEINWAGEN,VW POLO,-
KLEINWAGEN ZUSAMMEN,,59954
KOMPAKTKLASSE,"AUDI A3, S3, RS3",-
KOMPAKTKLASSE,BMW 1ER,-
KOMPAKTKLASSE,BMW 2ER,-
KOMPAKTKLASSE,CITROEN C4,3757
KOMPAKTKLASSE,DACIA SANDERO,-
KOMPAKTKLASSE,DS DS4,-
KOMPAKTKLASSE,FIAT TIPO,-
KOMPAKTKLASSE,FORD FOCUS,-
KOMPAKTKLASSE,HONDA CIVIC,-
KOMPAKTKLASSE,HYUNDAI I 30,-
KOMPAKTKLASSE,HYUNDAI IONIQ,1131
KOMPAKTKLASSE,KIA CEED,-
KOMPAKTKLASSE,MAZDA 3,-
KOMPAKTKLASSE,MAZDA MX-5,-
KOMPAKTKLASSE,MERCEDES A-KLASSE,-
KOMPAKTKLASSE,MG ROEWE 4,1769
KOMPAKTKLASSE,NISSAN LEAF,3593
KOMPAKTKLASSE,OPEL ASTRA,-
KOMPAKTKLASSE,PEUGEOT 308,-
KOMPAKTKLASSE,RENAULT MEGANE,8490
KOMPAKTKLASSE,SEAT BORN,12564
KOMPAKTKLASSE,SEAT LEON,-
KOMPAKTKLASSE,SKODA OCTAVIA,-
KOMPAKTKLASSE,SKODA SCALA,-
KOMPAKTKLASSE,SUBARU IMPREZA,-
KOMPAKTKLASSE,SUZUKI SWACE,-
KOMPAKTKLASSE,TOYOTA COROLLA,-
KOMPAKTKLASSE,TOYOTA PRIUS,-
KOMPAKTKLASSE,VW GOLF,2
KOMPAKTKLASSE,VW ID.3,23286
KOMPAKTKLASSE,SONSTIGE,1
KOMPAKTKLASSE ZUSAMMEN,,54593
MITTELKLASSE,ALFA ROMEO GIULIA,-
MITTELKLASSE,"AUDI A4, S4, RS4",-
MITTELKLASSE,"AUDI A5, S5, RS5",-
MITTELKLASSE,BMW 3ER,1
MITTELKLASSE,BMW 4ER,3769
MITTELKLASSE,CITROEN C5,-
MITTELKLASSE,FORD MONDEO,-
MITTELKLASSE,JAGUAR XE,-
MITTELKLASSE,KIA STINGER,-
MITTELKLASSE,MAZDA 6,-
MITTELKLASSE,MERCEDES C-KLASSE,-
MITTELKLASSE,MERCEDES CLA-KLASSE,-
MITTELKLASSE,MG ROEWE 5,2738
MITTELKLASSE,OPEL INSIGNIA,-
MITTELKLASSE,PEUGEOT 408,-
MITTELKLASSE,PEUGEOT 508,-
MITTELKLASSE,POLESTAR 2,6984
MITTELKLASSE,RENAULT TALISMAN,-
MITTELKLASSE,SKODA SUPERB,-
MITTELKLASSE,TESLA MODEL 3,33841
MITTELKLASSE,VOLVO 60,-
MITTELKLASSE,VW ARTEON,-
MITTELKLASSE,VW PASSAT,-
MITTELKLASSE,SONSTIGE,8
MITTELKLASSE ZUSAMMEN,,47341
OBERE MITTELKLASSE,"AUDI A6, S6, RS6",-
OBERE MITTELKLASSE,BMW 5ER,-
