post_code,Bundesland,Kreis,Typ
01067,Sachsen,Dresden,Stadt
01069,Sachsen,Dresden,Stadt
01097,Sachsen,Dresden,Stadt
01099,Sachsen,Dresden,Stadt
01108,Sachsen,Dresden,Stadt
01109,Sachsen,Dresden,Stadt
01127,Sachsen,Dresden,Stadt
01129,Sachsen,Dresden,Stadt
01139,Sachsen,Dresden,Stadt
01156,Sachsen,Dresden,Stadt
01157,Sachsen,Dresden,Stadt
01159,Sachsen,Dresden,Stadt
01169,Sachsen,Dresden,Stadt
01187,Sachsen,Dresden,Stadt
01189,Sachsen,Dresden,Stadt
01217,Sachsen,Dresden,Stadt
01219,Sachsen,Dresden,Stadt
01237,Sachsen,Dresden,Stadt
01239,Sachsen,Dresden,Stadt
01257,Sachsen,Dresden,Stadt
01259,Sachsen,Dresden,Stadt
01277,Sachsen,Dresden,Stadt
01279,Sachsen,Dresden,Stadt
01307,Sachsen,Dresden,Stadt
01309,Sachsen,Dresden,Stadt
01324,Sachsen,Dresden,Stadt
01326,Sachsen,Dresden,Stadt
01328,Sachsen,Dresden,Stadt
01445,Sachsen,Meißen,Kreis
01454,Sachsen,Bautzen,Kreis
01458,Sachsen,Bautzen,Kreis
01465,Sachsen,Dresden,Stadt
01468,Sachsen,Meißen,Kreis
01471,Sachsen,Meißen,Kreis
01477,Sachsen,Bautzen,Kreis
01558,Sachsen,Meißen,Kreis
01561,Sachsen,Meißen,Kreis
01587,Sachsen,Meißen,Kreis
01589,Sachsen,Meißen,Kreis
01591,Sachsen,Meißen,Kreis
01594,Sachsen,Meißen,Kreis
01609,Sachsen,Meißen,Kreis
01612,Sachsen,Meißen,Kreis
01616,Sachsen,Meißen,Kreis
01619,Sachsen,Meißen,Kreis
01623,Sachsen,Meißen,Kreis
01640,Sachsen,Meißen,Kreis
01662,Sachsen,Meißen,Kreis
01665,Sachsen,Meißen,Kreis
01683,Sachsen,Meißen,Kreis
01689,Sachsen,Meißen,Kreis
01705,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01723,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01728,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01731,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01734,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01737,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01738,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01744,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01762,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01768,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01773,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01774,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01776,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01778,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01796,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01809,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01814,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01816,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01819,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01824,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01825,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01829,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01833,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01844,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01847,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01848,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01855,Sachsen,Sächsische Schweiz-Osterzgebirge,Kreis
01877,Sachsen,Bautzen,Kreis
01896,Sachsen,Bautzen,Kreis
01900,Sachsen,Bautzen,Kreis
01904,Sachsen,Bautzen,Kreis
01906,Sachsen,Bautzen,Kreis
01909,Sachsen,Bautzen,Kreis
01917,Sachsen,Bautzen,Kreis
01920,Sachsen,Bautzen,Kreis
01936,Sachsen,Bautzen,Kreis
01945,Brandenburg,Oberspreewald-Lausitz,Kreis
01968,Brandenburg,Oberspreewald-Lausitz,Kreis
01979,Brandenburg,Oberspreewald-Lausitz,Kreis
01983,Brandenburg,Oberspreewald-Lausitz,Kreis
01987,Brandenburg,Oberspreewald-Lausitz,Kreis
01990,Brandenburg,Oberspreewald-Lausitz,Kreis
01993,Brandenburg,Oberspreewald-Lausitz,Kreis
01994,Brandenburg,Oberspreewald-Lausitz,Kreis
01996,Brandenburg,Oberspreewald-Lausitz,Kreis
01998,Brandenburg,Oberspreewald-Lausitz,Kreis
02625,Sachsen,Bautzen,Kreis
02627,Sachsen,Bautzen,Kreis
02633,Sachsen,Bautzen,Kreis
02681,Sachsen,Bautzen,Kreis
02689,Sachsen,Bautzen,Kreis
02692,Sachsen,Bautzen,Kreis
02694,Sachsen,Bautzen,Kreis
02699,Sachsen,Bautzen,Kreis
02708,Sachsen,Görlitz,Kreis
02727,Sachsen,Görlitz,Kreis
02730,Sachsen,Görlitz,Kreis
02733,Sachsen,Bautzen,Kreis
02736,Sachsen,Görlitz,Kreis
02739,Sachsen,Görlitz,Kreis
02742,Sachsen,Görlitz,Kreis
02747,Sachsen,Görlitz,Kreis
02748,Sachsen,Görlitz,Kreis
02763,Sachsen,Görlitz,Kreis
02779,Sachsen,Görlitz,Kreis
02782,Sachsen,Görlitz,Kreis
02785,Sachsen,Görlitz,Kreis
02788,Sachsen,Görlitz,Kreis
02791,Sachsen,Görlitz,Kreis
02794,Sachsen,Görlitz,Kreis
02796,Sachsen,Görlitz,Kreis
02797,Sachsen,Görlitz,Kreis
02799,Sachsen,Görlitz,Kreis
02826,Sachsen,Görlitz,Kreis
02827,Sachsen,Görlitz,Kreis
02828,Sachsen,Görlitz,Kreis
02829,Sachsen,Görlitz,Kreis
02894,Sachsen,Görlitz,Kreis
02899,Sachsen,Görlitz,Kreis
02906,Sachsen,Görlitz,Kreis
02923,Sachsen,Görlitz,Kreis
02929,Sachsen,Görlitz,Kreis
02943,Sachsen,Görlitz,Kreis
02953,Sachsen,Görlitz,Kreis
02956,Sachsen,Görlitz,Kreis
02957,Sachsen,Görlitz,Kreis
02959,Sachsen,Görlitz,Kreis
02977,Sachsen,Bautzen,Kreis
02979,Sachsen,Bautzen,Kreis
02991,Sachsen,Bautzen,Kreis
02994,Sachsen,Bautzen,Kreis
02997,Sachsen,Bautzen,Kreis
02999,Sachsen,Bautzen,Kreis
