ID,Betreiber,Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Steckertypen2,P2 [kW],Steckertypen3,P3 [kW],Steckertypen4,P4 [kW],ID.1,uuid,name,brand,street,house_number,post_code,city
16855,IONITY GmbH,Bayerischer Wald Nord,0,94336,Hunderdorf,Bayern,48.931488,12.70785,350.0,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,16855,4bd203b6-55da-44aa-ab20-6671c382bae7,Bayerischer Wald Nord,ESSO,"BAB A3, Stetten",7a,94336,Hunderdorf
16856,IONITY GmbH,Bayerischer Wald Nord,0,94336,Hunderdorf,Bayern,48.931488,12.70785,350.0,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,16856,4bd203b6-55da-44aa-ab20-6671c382bae7,Bayerischer Wald Nord,ESSO,"BAB A3, Stetten",7a,94336,Hunderdorf
16857,IONITY GmbH,Bayerischer Wald Nord,0,94336,Hunderdorf,Bayern,48.931488,12.70785,350.0,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,16857,4bd203b6-55da-44aa-ab20-6671c382bae7,Bayerischer Wald Nord,ESSO,"BAB A3, Stetten",7a,94336,Hunderdorf
16858,IONITY GmbH,Bayerischer Wald Nord,0,94336,Hunderdorf,Bayern,48.931488,12.70785,350.0,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,16858,4bd203b6-55da-44aa-ab20-6671c382bae7,Bayerischer Wald Nord,ESSO,"BAB A3, Stetten",7a,94336,Hunderdorf
18001,Shell Deutschland GmbH,Skalitzer Straße,48,10997,Berlin,Berlin,52.499217,13.433074,260.0,Schnellladeeinrichtung,2,DC Kupplung Combo,100.0,DC Kupplung Combo,100.0,,,,,18001,1723edea-8e01-4de3-8c5e-ca227a49e2c3,Shell Berlin Skalitzer Str. 48,Shell,Skalitzer Str.,48,10997,Berlin
18648,Shell Deutschland GmbH,Oranienburger Str.,61,13437,Berlin,Berlin,52.589884,13.334643,260.0,Schnellladeeinrichtung,2,DC Kupplung Combo,130.0,DC Kupplung Combo,130.0,,,,,18648,414b6e59-7913-4d20-b7fe-f77d917e0c77,Shell Berlin Oranienburger Str. 61,Shell,Oranienburger Str.,61,13437,Berlin
23134,E.ON Drive Infrastructure,Bühleck Nord,0,34289,Zierenberg,Hessen,51.38209,9.24886,93.0,Schnellladeeinrichtung,2,AC Kupplung Typ 2,50.0,"DC Kupplung Combo, DC CHAdeMO",43.0,,,,,23134,fa1fa62d-2241-4fb9-a395-e4355655d248,Bühleck Nord,ARAL,BAB A44,,34289,Zierenberg
23891,Aral Pulse,Elisabeth-Selbert-Straße ,4,63128,Dietzenbach,Hessen,50.01343,8.79411,300.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,,,,,23891,beb0204b-ece4-41fc-b8c5-0a66f1f8dcca,Aral Tankstelle,ARAL,Elisabeth-Selbert-Straße,,63128,Dietzenbach
23892,Aral Pulse,Elisabeth-Selbert-Straße ,4,63128,Dietzenbach,Hessen,50.01343,8.79411,300.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,,,,,23892,beb0204b-ece4-41fc-b8c5-0a66f1f8dcca,Aral Tankstelle,ARAL,Elisabeth-Selbert-Straße,,63128,Dietzenbach
24070,Aral Pulse,Schlangenbader Straße,8,65344,Eltville,Hessen,50.05636,8.119202,300.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,,,,,24070,16852e5d-8387-4a87-937d-5273b7e6a0b5,Aral Tankstelle,ARAL,Schlangenbader Straße,8,65344,Eltville
24071,Aral Pulse,Schlangenbader Straße,8,65344,Eltville,Hessen,50.05636,8.119202,300.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,,,,,24071,16852e5d-8387-4a87-937d-5273b7e6a0b5,Aral Tankstelle,ARAL,Schlangenbader Straße,8,65344,Eltville
24468,E.ON Drive Infrastructure,Wetterau Ost,0,61239,Ober-Mörlen,Hessen,50.35566,8.69456,93.0,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,,,,,24468,c60c97e5-f94b-4d50-96bc-000a14c9b8bb,"Aral Tankstelle, BAT WETTERAU OST",ARAL,A,5,61239,Ober-Mörlen
27618,Shell Deutschland GmbH,Erbstorfer Landstraße,2B,21337,Lüneburg,Niedersachsen,53.26222,10.425404,360.0,Schnellladeeinrichtung,4,DC Kupplung Combo,360.0,DC Kupplung Combo,360.0,DC Kupplung Combo,360.0,DC Kupplung Combo,360.0,27618,419140f1-59b7-4ffe-9e68-b3c15995457f,Shell Lüneburg Erbstorfer Landstr. 2 B,Shell,Erbstorfer Landstr.,2 B,21337,Lüneburg
