Bundesland,Anzahl der Ladesäulen,Durchschnittliche Entfernung
Bayern,9548,78.88869405806629
Nordrhein-Westfalen,8288,53.94200366976061
Baden-Württemberg,7822,58.21165432654525
Niedersachsen,4463,67.1360495852459
Hessen,3283,51.89502405680463
Sachsen,1800,53.68172329318806
Schleswig-Holstein,1729,44.55409927339619
Rheinland-Pfalz,1682,55.84163073318177
Berlin,1526,6.975358457710814
Hamburg,1106,6.455872162526126
Brandenburg,905,49.38182438330989
Thüringen,803,44.773147796981654
Sachsen-Anhalt,693,49.48992871708999
Mecklenburg-Vorpommern,536,61.603718442321764
Saarland,353,17.610919711709585
Bremen,314,14.09402601518261
